Changed directory to /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing.

JobID: 58393844
======
Time: Wed Aug  7 22:57:37 BST 2024
Running on master node: gpu-q-17
Current directory: /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing

Nodes allocated:
================
gpu-q-17

numtasks=1, numnodes=1, mpi_tasks_per_node=1 (OMP_NUM_THREADS=1)

Executing command:
==================
python create_probe_dataset.py --env_name probing- --model_name 10m --num_episodes 5000 --pct_train 0.6 


Initializing env 0 with device cpu
Data collected from episode 306 with episode length of 29
Data collected from episode 307 with episode length of 117
Data collected from episode 308 with episode length of 120
Data collected from episode 309 with episode length of 117
Data collected from episode 310 with episode length of 55
Data collected from episode 311 with episode length of 117
Data collected from episode 312 with episode length of 119
Data collected from episode 313 with episode length of 119
Data collected from episode 314 with episode length of 59
Data collected from episode 315 with episode length of 115
Data collected from episode 316 with episode length of 25
Data collected from episode 317 with episode length of 119
Data collected from episode 318 with episode length of 116
Data collected from episode 319 with episode length of 115
Data collected from episode 320 with episode length of 32
Data collected from episode 321 with episode length of 115
Data collected from episode 322 with episode length of 117
Data collected from episode 323 with episode length of 118
Data collected from episode 324 with episode length of 35
Data collected from episode 325 with episode length of 23
Data collected from episode 326 with episode length of 26
Data collected from episode 327 with episode length of 119
Data collected from episode 328 with episode length of 115
Data collected from episode 329 with episode length of 27
Data collected from episode 330 with episode length of 115
Data collected from episode 331 with episode length of 119
Data collected from episode 332 with episode length of 115
Data collected from episode 333 with episode length of 119
Data collected from episode 334 with episode length of 37
Data collected from episode 335 with episode length of 117
Data collected from episode 336 with episode length of 116
Data collected from episode 337 with episode length of 29
Data collected from episode 338 with episode length of 117
Data collected from episode 339 with episode length of 118
Data collected from episode 340 with episode length of 118
Data collected from episode 341 with episode length of 21
Data collected from episode 342 with episode length of 35
Data collected from episode 343 with episode length of 117
Data collected from episode 344 with episode length of 120
Data collected from episode 345 with episode length of 117
Data collected from episode 346 with episode length of 29
Data collected from episode 347 with episode length of 79
Data collected from episode 348 with episode length of 119
Data collected from episode 349 with episode length of 118
Data collected from episode 350 with episode length of 120
Data collected from episode 351 with episode length of 29
Data collected from episode 352 with episode length of 119
Data collected from episode 353 with episode length of 30
Data collected from episode 354 with episode length of 50
Data collected from episode 355 with episode length of 119
Data collected from episode 356 with episode length of 116
Data collected from episode 357 with episode length of 117
Data collected from episode 358 with episode length of 117
Data collected from episode 359 with episode length of 119
Data collected from episode 360 with episode length of 22
Data collected from episode 361 with episode length of 120
Data collected from episode 362 with episode length of 115
Data collected from episode 363 with episode length of 117
Data collected from episode 364 with episode length of 116
Data collected from episode 365 with episode length of 119
Data collected from episode 366 with episode length of 10
Data collected from episode 367 with episode length of 35
Data collected from episode 368 with episode length of 116
Data collected from episode 369 with episode length of 119
Data collected from episode 370 with episode length of 119
Data collected from episode 371 with episode length of 115
Data collected from episode 372 with episode length of 119
Data collected from episode 373 with episode length of 115
Data collected from episode 374 with episode length of 118
Data collected from episode 375 with episode length of 120
Data collected from episode 376 with episode length of 117
Data collected from episode 377 with episode length of 41
Data collected from episode 378 with episode length of 115
Data collected from episode 379 with episode length of 115
Data collected from episode 380 with episode length of 116
Data collected from episode 381 with episode length of 116
Data collected from episode 382 with episode length of 14
Data collected from episode 383 with episode length of 42
Data collected from episode 384 with episode length of 45
Data collected from episode 385 with episode length of 117
Data collected from episode 386 with episode length of 19
Data collected from episode 387 with episode length of 62
Data collected from episode 388 with episode length of 118
Data collected from episode 389 with episode length of 119
Data collected from episode 390 with episode length of 32
Data collected from episode 391 with episode length of 120
Data collected from episode 392 with episode length of 115
Data collected from episode 393 with episode length of 40
Data collected from episode 394 with episode length of 33
Data collected from episode 395 with episode length of 120
Data collected from episode 396 with episode length of 118
Data collected from episode 397 with episode length of 26
Data collected from episode 398 with episode length of 117
Data collected from episode 399 with episode length of 115
Data collected from episode 400 with episode length of 120
Data collected from episode 401 with episode length of 119
Data collected from episode 402 with episode length of 26
Data collected from episode 403 with episode length of 34
Data collected from episode 404 with episode length of 61
Data collected from episode 405 with episode length of 117
Data collected from episode 406 with episode length of 33
Data collected from episode 407 with episode length of 115
Data collected from episode 408 with episode length of 120
Data collected from episode 409 with episode length of 117
Data collected from episode 410 with episode length of 118
Data collected from episode 411 with episode length of 119
Data collected from episode 412 with episode length of 120
Data collected from episode 413 with episode length of 30
Data collected from episode 414 with episode length of 120
Data collected from episode 415 with episode length of 36
